"Start","Stop"
20 Sep 2001 00:00:00.00,27 Sep 2001 00:00:00.00
"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
21 Sep 2001 19:33:06.17,225.188,-42.000,651.387678
22 Sep 2001 09:38:08.80,36.764,-42.000,651.387678
22 Sep 2001 09:39:08.00,98.022,-56.453,508.283283
22 Sep 2001 09:39:58.42,146.345,-42.000,651.387680
22 Sep 2001 20:13:49.52,14.068,-42.000,651.387678
22 Sep 2001 20:14:49.00,72.912,-72.116,440.118127
22 Sep 2001 20:15:49.00,160.333,-45.863,600.818705
22 Sep 2001 20:15:58.51,162.860,-42.000,651.387680
23 Sep 2001 10:20:40.48,335.597,-42.000,651.387675
23 Sep 2001 10:21:40.00,272.575,-63.340,471.001874
23 Sep 2001 10:22:40.00,207.593,-42.223,648.125822
23 Sep 2001 10:22:40.63,207.355,-42.000,651.387675
23 Sep 2001 19:25:08.37,297.211,-42.000,651.387678
23 Sep 2001 19:26:08.00,243.289,-42.779,640.188537
23 Sep 2001 19:26:12.31,239.939,-42.000,651.387677
24 Sep 2001 09:31:35.95,49.332,-42.000,651.387675
24 Sep 2001 09:32:35.00,107.194,-49.010,567.435247
24 Sep 2001 09:33:06.23,133.794,-42.000,651.387678
24 Sep 2001 20:07:05.79,4.677,-42.000,651.387678
24 Sep 2001 20:08:05.00,43.173,-79.913,424.410624
24 Sep 2001 20:09:05.00,170.671,-48.099,576.487371
24 Sep 2001 20:09:18.81,172.275,-42.000,651.387675
25 Sep 2001 10:13:55.66,345.206,-42.000,651.387679
25 Sep 2001 10:14:55.00,285.841,-71.507,441.771438
25 Sep 2001 10:15:55.00,200.227,-45.596,603.942391
25 Sep 2001 10:16:03.91,197.776,-42.000,651.387679
26 Sep 2001 09:25:09.68,66.400,-42.000,651.387677
26 Sep 2001 09:25:47.13,99.846,-44.353,619.158760
26 Sep 2001 09:26:06.88,116.739,-42.000,651.387678
26 Sep 2001 20:00:24.09,355.526,-42.000,651.387675
26 Sep 2001 20:01:24.00,331.763,-82.409,421.352306
26 Sep 2001 20:02:24.00,182.209,-48.051,576.973701
26 Sep 2001 20:02:37.63,181.452,-42.000,651.387675

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
20 Sep 2001 13:45:24.04,323.111,-42.000,632.085463
20 Sep 2001 13:46:24.00,257.309,-57.220,488.979502
20 Sep 2001 13:47:11.81,210.638,-42.000,632.085465
21 Sep 2001 01:36:22.17,320.157,-42.000,632.085464
21 Sep 2001 01:37:22.00,257.475,-51.250,531.226191
21 Sep 2001 01:37:57.08,226.099,-42.000,632.085468
22 Sep 2001 13:39:07.84,293.332,-42.000,632.085466
22 Sep 2001 13:39:45.58,258.258,-44.628,597.604472
22 Sep 2001 13:40:05.71,240.404,-42.000,632.085467
23 Sep 2001 01:29:27.82,343.093,-42.000,632.085463
23 Sep 2001 01:30:27.00,277.406,-68.410,438.413262
23 Sep 2001 01:31:27.00,203.937,-42.971,618.679983
23 Sep 2001 01:31:29.51,203.149,-42.000,632.085463
25 Sep 2001 01:22:43.33,2.881,-42.000,632.085464
25 Sep 2001 01:23:43.00,0.143,-84.858,407.355691
25 Sep 2001 01:24:43.00,183.383,-46.320,578.162786
25 Sep 2001 01:24:52.72,183.344,-42.000,632.085467
25 Sep 2001 14:14:59.58,62.098,-42.000,632.085469
25 Sep 2001 14:15:35.18,95.134,-44.288,601.761321
25 Sep 2001 14:15:53.85,111.737,-42.000,632.085467

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
20 Sep 2001 07:23:10.12,297.732,-42.000,655.943184
20 Sep 2001 07:24:10.00,244.387,-42.873,643.322120
20 Sep 2001 07:24:14.95,240.583,-42.000,655.943183
20 Sep 2001 08:54:41.70,12.875,-42.000,655.943183
20 Sep 2001 08:55:41.00,68.030,-73.757,438.901546
20 Sep 2001 08:56:41.00,162.959,-46.822,594.058304
20 Sep 2001 08:56:52.59,165.732,-42.000,655.943185
20 Sep 2001 15:01:03.41,62.872,-42.000,655.943186
20 Sep 2001 15:02:03.00,116.028,-42.487,648.818569
20 Sep 2001 15:02:05.77,118.163,-42.000,655.943185
20 Sep 2001 16:32:12.29,359.209,-42.000,655.943184
